site,species,plant_no,wet_weight_g,psi_bars
laselva,elaphoglossum_latifolium,2,1.2922,5
laselva,elaphoglossum_latifolium,2,1.2895,5.5
laselva,elaphoglossum_latifolium,2,1.2862,6
laselva,elaphoglossum_latifolium,2,1.2836,7
laselva,elaphoglossum_latifolium,2,1.2811,7
laselva,elaphoglossum_latifolium,2,1.2705,9
laselva,elaphoglossum_latifolium,2,1.265,10.2
laselva,elaphoglossum_latifolium,2,1.2327,12.2
laselva,elaphoglossum_latifolium,2,1.2209,12.2
laselva,elaphoglossum_latifolium,2,1.2108,12.2
laselva,elaphoglossum_latifolium,3,1.8262,2
laselva,elaphoglossum_latifolium,3,1.8199,4.2
laselva,elaphoglossum_latifolium,3,1.8166,5
laselva,elaphoglossum_latifolium,3,1.8142,7.5
laselva,elaphoglossum_latifolium,3,1.8136,9
laselva,elaphoglossum_latifolium,3,1.8078,9.8
laselva,elaphoglossum_latifolium,3,1.8054,10
laselva,elaphoglossum_latifolium,3,1.8026,11
laselva,elaphoglossum_latifolium,3,1.7979,13.4
laselva,elaphoglossum_latifolium,3,1.788,15
laselva,elaphoglossum_latifolium,4,1.7538,0.5
laselva,elaphoglossum_latifolium,4,1.7464,2
laselva,elaphoglossum_latifolium,4,1.7438,3.2
laselva,elaphoglossum_latifolium,4,1.7398,3.8
