"site","species","plant_no","dry_mass_g","sla_cm2g","niche","genusspecies","group","niche2"
"las_cruces","blechnum_schiedeanum","1",0.0117,34.1880341880342,"terrestrial","blesch","E2","terrestrial"
"las_cruces","blechnum_schiedeanum","2",0.0106,37.7358490566038,"terrestrial","blesch","E2","terrestrial"
"las_cruces","diplazium_atirrense","3",0.0044,90.9090909090909,"terrestrial","dipati","E2","terrestrial"
"las_cruces","diplazium_atirrense","6",0.0046,86.9565217391304,"terrestrial","dipati","E2","terrestrial"
"las_cruces","diplazium_atirrense","2",0.0035,114.285714285714,"terrestrial","dipati","E2","terrestrial"
"las_cruces","diplazium_atirrense","1",0.0028,142.857142857143,"terrestrial","dipati","E2","terrestrial"
"las_cruces","diplazium_atirrense","5",0.0032,125,"terrestrial","dipati","E2","terrestrial"
"las_cruces","diplazium_atirrense","4",0.0033,121.212121212121,"terrestrial","dipati","E2","terrestrial"
"las_cruces","diplazium_prominulum","1",0.0025,160,"terrestrial","dippro","E2","terrestrial"
"las_cruces","diplazium_prominulum","4",0.0028,142.857142857143,"terrestrial","dippro","E2","terrestrial"
"las_cruces","diplazium_prominulum","5",0.0024,166.666666666667,"terrestrial","dippro","E2","terrestrial"
"las_cruces","diplazium_prominulum","6",0.0023,173.913043478261,"terrestrial","dippro","E2","terrestrial"
"las_cruces","diplazium_prominulum","2",0.0028,142.857142857143,"terrestrial","dippro","E2","terrestrial"
"las_cruces","diplazium_prominulum","3",0.0019,210.526315789474,"terrestrial","dippro","E2","terrestrial"
"las_cruces","dryopteris_patula","4",0.283,32.3321554770318,"epiphyte","drypat","E1","epiphyte"
"las_cruces","dryopteris_patula","1",0.407,37.6658476658477,"epiphyte","drypat","E1","epiphyte"
"las_cruces","dryopteris_patula","2",0.219,40.7762557077626,"epiphyte","drypat","E1","epiphyte"
"las_cruces","dryopteris_patula","3",0.214,36.2616822429907,"epiphyte","drypat","E1","epiphyte"
"las_cruces","dryopteris_patula","5",0.261,34.2911877394636,"epiphyte","drypat","E1","epiphyte"
"las_cruces","dryopteris_patula","6",0.248,33.5483870967742,"epiphyte","drypat","E1","epiphyte"
"las_cruces","elaphoglossum_decursivum","5",0.0047,85.1063829787234,"epiphyte","eladec","E1","epiphyte"
"las_cruces","elaphoglossum_decursivum","4",0.0035,114.285714285714,"epiphyte","eladec","E1","epiphyte"
"las_cruces","elaphoglossum_decursivum","1",0.0042,95.2380952380953,"epiphyte","eladec","E1","epiphyte"
"las_cruces","elaphoglossum_decursivum","2",0.0048,83.3333333333333,"epiphyte","eladec","E1","epiphyte"
"las_cruces","elaphoglossum_decursivum","6",0.0044,90.9090909090909,"epiphyte","eladec","E1","epiphyte"
"las_cruces","elaphoglossum_decursivum","3",0.0045,88.8888888888889,"epiphyte","eladec","E1","epiphyte"
"las_cruces","lomariopsis_maxonii","1",0.0054,74.0740740740741,"hemi-epiphyte","lommax","out","hemi-epiphyte"
"las_cruces","lomariopsis_maxonii","5",0.0045,88.8888888888889,"hemi-epiphyte","lommax","out","hemi-epiphyte"
"las_cruces","lomariopsis_maxonii","2",0.0041,97.5609756097561,"hemi-epiphyte","lommax","out","hemi-epiphyte"
"las_cruces","lomariopsis_maxonii","6",0.0039,102.564102564103,"hemi-epiphyte","lommax","out","hemi-epiphyte"
"las_cruces","lomariopsis_maxonii","4",0.0052,76.9230769230769,"hemi-epiphyte","lommax","out","hemi-epiphyte"
"las_cruces","lomariopsis_maxonii","3",0.0043,93.0232558139535,"hemi-epiphyte","lommax","out","hemi-epiphyte"
"las_cruces","nephrolepis_brownii","5",0.0045,88.8888888888889,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","nephrolepis_brownii","6",0.0043,93.0232558139535,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","nephrolepis_brownii","2",0.0026,153.846153846154,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","nephrolepis_brownii","4",0.0033,121.212121212121,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","nephrolepis_brownii","1",0.0035,114.285714285714,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","nephrolepis_brownii","7",0.0048,83.3333333333333,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","nephrolepis_brownii","3",0.0038,105.263157894737,"terrestrial","nepbro","E1","terrestrial"
"las_cruces","niphidium_crassifolium","1",0.0027,148.148148148148,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","niphidium_crassifolium","5",0.006,66.6666666666667,"epiphyte","nipcra","E1","epiphyte"
"las_cruces","niphidium_crassifolium","6",0.0042,95.2380952380953,"epiphyte","nipcra","E1","epiphyte"
