"sample_id","genusspecies","individual","K","MPa","curve_id","perc_loss_k","PLC"
"parexc_8_1.50","parexc",8,0.360382842977422,1.5,"parexc-8",0.398810804099833,39.8810804099833
"parexc_8_2.00","parexc",8,0.168997706195735,2,"parexc-8",0.187018090378878,18.7018090378878
"parexc_8_2.50","parexc",8,0.0437361938878613,2.5,"parexc-8",0.0483998253317985,4.83998253317985
"parexc_9_0.00","parexc",9,3.40722765659034,0,"parexc-9",1,100
"parexc_9_0.50","parexc",9,2.49339232439899,0.5,"parexc-9",0.731795047382941,73.1795047382941
"parexc_9_1.00","parexc",9,1.88980530787198,1,"parexc-9",0.554646034354845,55.4646034354845
"parexc_9_1.50","parexc",9,1.04919521532784,1.5,"parexc-9",0.307932231442905,30.7932231442905
"parexc_9_2.00","parexc",9,0.706734515896925,2,"parexc-9",0.207422158754183,20.7422158754183
"parexc_9_2.50","parexc",9,0.128278154426196,2.5,"parexc-9",0.0376488357559782,3.76488357559782
"serfra_1_0.00","serfra",1,1.21545627457615,0,"serfra-1",1,100
"serfra_1_0.50","serfra",1,1.02528545865374,0.5,"serfra-1",0.843539566251593,84.3539566251593
"serfra_1_1.00","serfra",1,1.06783358957515,1,"serfra-1",0.878545458122315,87.8545458122315
"serfra_1_1.50","serfra",1,0.98398295531077,1.5,"serfra-1",0.809558497407816,80.9558497407816
"serfra_1_2.00","serfra",1,0.518002538125718,2,"serfra-1",0.426179492393796,42.6179492393796
"serfra_1_2.50","serfra",1,0.633438453868056,2.5,"serfra-1",0.521152810773835,52.1152810773835
"serfra_1_3.00","serfra",1,-0.0398680166119738,3,"serfra-1",-0.0328008645361401,-3.28008645361401
"serfra_10_0.00","serfra",10,1.66264191679034,0,"serfra-10",1,100
"serfra_10_0.50","serfra",10,1.72384590364755,0.5,"serfra-10",1.03681128584522,103.681128584522
"serfra_10_1.00","serfra",10,1.55367091008413,1,"serfra-10",0.934459124598171,93.4459124598172
"serfra_10_1.50","serfra",10,1.16366299708732,1.5,"serfra-10",0.69988792255023,69.988792255023
"serfra_10_2.00","serfra",10,0.339988634181895,2,"serfra-10",0.204486985891844,20.4486985891844
"serfra_10_2.50","serfra",10,0.202480728056287,2.5,"serfra-10",0.12178252335125,12.178252335125
"serfra_11_0.00","serfra",11,1.49520875301187,0,"serfra-11",1,100
"serfra_11_0.50","serfra",11,1.24121721313464,0.5,"serfra-11",0.830129713081461,83.0129713081461
"serfra_11_1.00","serfra",11,1.22847757701295,1,"serfra-11",0.821609407073336,82.1609407073336
"serfra_11_1.50","serfra",11,1.12077428280757,1.5,"serfra-11",0.749577127976234,74.9577127976234
"serfra_11_2.00","serfra",11,0.328620353426493,2,"serfra-11",0.219782256333463,21.9782256333463
"serfra_11_2.50","serfra",11,0.0731362221130271,2.5,"serfra-11",0.0489137198840664,4.89137198840664
"serfra_2_0.00","serfra",2,1.01846406117106,0,"serfra-2",1,100
"serfra_2_0.50","serfra",2,0.936959224353762,0.5,"serfra-2",0.919972790474724,91.9972790474724
"serfra_2_1.00","serfra",2,0.971074269508846,1,"serfra-2",0.953469353049409,95.3469353049409
"serfra_2_1.50","serfra",2,0.439633890124897,1.5,"serfra-2",0.431663626519519,43.1663626519519
"serfra_2_2.00","serfra",2,0.188126875080187,2,"serfra-2",0.184716262706288,18.4716262706288
"serfra_2_2.50","serfra",2,0.0165873630535639,2.5,"serfra-2",0.0162866454359629,1.62866454359629
"serfra_2_3.00","serfra",2,0.0046226478593302,3,"serfra-2",0.00453884239569037,0.453884239569037
"serfra_3_0.00","serfra",3,1.17162911180276,0,"serfra-3",1,100
"serfra_3_0.50","serfra",3,1.14458238051422,0.5,"serfra-3",0.976915278891522,97.6915278891522
"serfra_3_1.00","serfra",3,1.09077903565206,1,"serfra-3",0.930993455747871,93.0993455747871
"serfra_3_1.50","serfra",3,0.994923070995612,1.5,"serfra-3",0.849179199264471,84.9179199264471
"serfra_3_2.00","serfra",3,0.336795713925205,2,"serfra-3",0.287459325252668,28.7459325252668
"serfra_3_2.50","serfra",3,0.237962629367,2.5,"serfra-3",0.203104059953625,20.3104059953625
"serfra_3_3.00","serfra",3,0.0704707247996307,3,"serfra-3",0.0601476389496663,6.01476389496663
"serfra_6_0.00","serfra",6,1.75429439477909,0,"serfra-6",1,100
"serfra_6_0.50","serfra",6,1.6835808174596,0.5,"serfra-6",0.959691157008804,95.9691157008804
"serfra_6_1.00","serfra",6,1.57470070846442,1,"serfra-6",0.897626255405506,89.7626255405506
"serfra_6_1.50","serfra",6,0.725802381697893,1.5,"serfra-6",0.413728952140493,41.3728952140493
