sample_id,genusspecies,individual,K,MPa,perc_loss_k,PLC
serfra_3_3.00,serfra,3,0.079,3,0.937140677,93.7140677
serfra_6_0.00,serfra,6,1.897,0,0,0
serfra_6_0.50,serfra,6,1.822,0.5,0.039585229,3.958522863
serfra_6_1.00,serfra,6,1.698,1,0.105073103,10.50731026
serfra_6_1.50,serfra,6,0.763,1.5,0.597707312,59.77073121
serfra_6_2.00,serfra,6,0.356,2,0.812326375,81.23263748
serfra_6_2.50,serfra,6,0.251,2.5,0.867896845,86.78968449
serfra_6_3.00,serfra,6,0.052,3,0.972546548,97.25465479
serfra_9_0.00,serfra,9,1.397,0,0,0
serfra_9_0.50,serfra,9,1.311,0.5,0.061266284,6.126628379
serfra_9_1.00,serfra,9,1.57,1,-0.12405799,-12.40579903
serfra_9_1.50,serfra,9,0.833,1.5,0.403354786,40.33547857
serfra_9_2.00,serfra,9,0.774,2,0.445779121,44.5779121
serfra_9_2.50,serfra,9,0.14,2.5,0.899869243,89.98692426
serfra_10_0.00,serfra,10,1.781,0,0,0
serfra_10_0.50,serfra,10,1.847,0.5,-0.037347279,-3.734727906
serfra_10_1.00,serfra,10,1.659,1,0.068690695,6.869069517
serfra_10_1.50,serfra,10,1.247,1.5,0.300052371,30.00523706
serfra_10_2.00,serfra,10,0.368,2,0.793150965,79.31509652
serfra_10_2.50,serfra,10,0.22,2.5,0.876668872,87.66688717
serfra_11_0.00,serfra,11,1.615,0,0,0
serfra_11_0.50,serfra,11,1.341,0.5,0.16944806,16.94480599
serfra_11_1.00,serfra,11,1.328,1,0.177549032,17.75490323
serfra_11_1.50,serfra,11,1.211,1.5,0.250418653,25.04186528
serfra_11_2.00,serfra,11,0.354,2,0.78053859,78.05385896
serfra_11_2.50,serfra,11,0.075,2.5,0.953725516,95.37255158
