"species","plant_no","niche2","guardcell_length_um","average_guardcell_width_um","stomatal_size"
"niphidium_crassifolium","2","epiphyte",0.0485142857142857,0.0136714285714286,0.00132374285714286
"niphidium_crassifolium","3","epiphyte",0.042125,0.01325,0.0011215
"niphidium_crassifolium","4","epiphyte",0.0465,0.0155,0.00143525
"niphidium_crassifolium","5","epiphyte",0.044125,0.01275,0.001126
"niphidium_crassifolium","6","epiphyte",0.04375,0.013625,0.001191
"oleandra_articulata","1","epiphyte",0.0364444444444444,0.0103333333333333,0.000753111111111111
"oleandra_articulata","2","epiphyte",0.0375555555555556,0.0104444444444444,0.000784222222222222
"oleandra_articulata","3","epiphyte",0.0376666666666667,0.011,0.000831111111111111
"oleandra_articulata","4","epiphyte",0.0405555555555556,0.00988888888888889,0.000801555555555556
"oleandra_articulata","5","epiphyte",0.0402222222222222,0.0105555555555556,0.000848222222222222
"oleandra_articulata","6","epiphyte",0.0402222222222222,0.011,0.000885555555555556
"oleandra_costaricensis","1","terrestrial",0.05175,0.01075,0.00111375
"oleandra_costaricensis","2","terrestrial",0.04305,0.0094375,0.000814265
"oleandra_costaricensis","3","terrestrial",0.048625,0.01,0.000976
"oleandra_costaricensis","4","terrestrial",0.047125,0.010125,0.000955
"oleandra_costaricensis","5","terrestrial",0.049375,0.010625,0.00104925
"oleandra_costaricensis","6","terrestrial",0.04775,0.0115,0.001099
"olfersia_cervina","1","terrestrial",0.045,0.01325,0.0011955
"olfersia_cervina","2","terrestrial",0.045625,0.01375,0.00125725
"olfersia_cervina","3","terrestrial",0.05,0.013375,0.0013395
"olfersia_cervina","4","terrestrial",0.04675,0.01275,0.001196
"olfersia_cervina","5","terrestrial",0.04725,0.01425,0.001348
"olfersia_cervina","6","terrestrial",0.050375,0.014375,0.0014495
"parablechnum_schiedeanum","1","terrestrial",0.054375,0.013,0.001406
"parablechnum_schiedeanum","2","terrestrial",0.053125,0.012625,0.0013425
"parablechnum_schiedeanum","3","terrestrial",0.053125,0.012875,0.00136575
"parablechnum_schiedeanum","4","terrestrial",0.062875,0.01375,0.00172975
"parablechnum_schiedeanum","5","terrestrial",0.0585,0.013125,0.0015385
"parablechnum_schiedeanum","6","terrestrial",0.05975,0.013,0.001556
"parapolystichum_excultum","1","terrestrial",0.037625,0.010125,0.00076275
"parapolystichum_excultum","2","terrestrial",0.0385,0.009875,0.00076025
"parapolystichum_excultum","3","terrestrial",0.03775,0.008375,0.00063225
"parapolystichum_excultum","4","terrestrial",0.04,0.009,0.000718
"parapolystichum_excultum","5","terrestrial",0.037,0.00975,0.000722
"parapolystichum_excultum","6","terrestrial",0.038,0.01,0.00076
"parapolystichum_excultum","7","terrestrial",0.04,0.009625,0.00076925
"pecluma_pectinata","1","epiphyte",0.038,0.0106875,0.00081365
"pecluma_pectinata","2","epiphyte",0.0365375,0.0101625,0.0007412425
"pecluma_pectinata","3","epiphyte",0.039375,0.0108375,0.000855745
"phlebodium_aureum","1","epiphyte",0.0412222222222222,0.0146666666666667,0.00121088888888889
"phlebodium_aureum","10","epiphyte",0.0385714285714286,0.0134285714285714,0.00103714285714286
"phlebodium_aureum","2","epiphyte",0.04025,0.0145,0.00116775
"phlebodium_aureum","3","epiphyte",0.0423333333333333,0.0143333333333333,0.00121555555555556
"phlebodium_aureum","4","epiphyte",0.043,0.0152857142857143,0.00131485714285714
"phlebodium_aureum","5","epiphyte",0.0414285714285714,0.014,0.00116285714285714
"phlebodium_aureum","6","epiphyte",0.0385,0.0151666666666667,0.00116433333333333
"phlebodium_aureum","7","epiphyte",0.0393333333333333,0.0154444444444444,0.001218
"phlebodium_aureum","8","epiphyte",0.0428888888888889,0.0138888888888889,0.00119511111111111
"phlebodium_aureum","9","epiphyte",0.0433333333333333,0.0146666666666667,0.00127177777777778
"polybotrya_osmundacea","1","hemi-epiphyte",0.0512222222222222,0.0132222222222222,0.00136066666666667
"polybotrya_osmundacea","2","hemi-epiphyte",0.0494444444444444,0.0136666666666667,0.00135133333333333
"polybotrya_osmundacea","3","hemi-epiphyte",0.0493333333333333,0.0138888888888889,0.00137088888888889
"polybotrya_osmundacea","4","hemi-epiphyte",0.0458888888888889,0.0126666666666667,0.00116377777777778
"polybotrya_osmundacea","5","hemi-epiphyte",0.0515555555555556,0.0131111111111111,0.00134711111111111
"polybotrya_osmundacea","6","hemi-epiphyte",0.046625,0.01275,0.0011885
